ecli,drug,relevant_countries
ECLI:NL:RBZWB:2022:1523,drugs,['Belgium']
ECLI:NL:RBZWB:2022:1523,amfetamine,[' Belgium']
ECLI:NL:RBZWB:2022:1523,methanol,[' Belgium']
ECLI:NL:OGHNAA:2010:BM7498,cocaïne,[' Netherlands']
ECLI:NL:RBZWB:2022:1514,amfetamine,"[' Netherlands', ' Belgium']"
ECLI:NL:RBZWB:2022:1514,methanol,[' Belgium']
ECLI:NL:PHR:2020:903,apaan,"[' Netherlands', 'China', 'Netherlands']"
ECLI:NL:PHR:2020:903,bmk,[' Netherlands']
ECLI:NL:PHR:2020:903,amfetamine,[' Netherlands']
ECLI:NL:RBGEL:2016:6469,mdma,"['Belgium', ' Netherlands', ' Belgium']"
ECLI:NL:RBGEL:2016:6469,pmk,"['Belgium', ' Netherlands', ' Belgium']"
ECLI:NL:RBGEL:2016:6469,drugs,"[' Netherlands', 'Belgium', ' Belgium']"
ECLI:NL:RBGEL:2016:6469,harddrugs,"['Belgium', ' Netherlands']"
ECLI:NL:RBGEL:2016:6469,xtc,[' Netherlands']
ECLI:NL:RBOVE:2021:3410,cocaïne,[' Netherlands']
ECLI:NL:RBLIM:2018:3476,cocaïne,"['Netherlands', 'Dominican Republic', ' Netherlands']"
ECLI:NL:RBAMS:2017:3256,drugs,"[' Belgium', ' Netherlands']"
ECLI:NL:RBAMS:2017:3256,harddrugs,['Belgium']
ECLI:NL:RBAMS:2017:3256,crystal,"['Belgium', ' Belgium']"
ECLI:NL:RBAMS:2017:3256,methamfetamine,"['Belgium', ' Belgium']"
ECLI:NL:RBGEL:2014:494,drugs,"[' Suriname', ' Netherlands', ' France']"
ECLI:NL:RBGEL:2014:496,drugs,"[' Suriname', ' Netherlands', ' France']"
ECLI:NL:RBGEL:2014:493,drugs,"[' Suriname', ' Netherlands', ' France']"
ECLI:NL:RBROT:2012:BY6936,cocaïne,"['South America', 'Netherlands', 'Ecuador']"
ECLI:NL:RBHAA:2008:BC9447,cocaïnetransport,"['Italy', 'Netherlands']"
ECLI:NL:RBHAA:2008:BC9447,cocaïne,"['Italy', 'Netherlands']"
ECLI:NL:RBOBR:2018:1914,drugs,"[' Belgium', 'Belgium']"
ECLI:NL:RBOBR:2018:18,drugs,[' Netherlands']
ECLI:NL:RBOBR:2017:2117,drugs,"['Netherlands', 'Belgium']"
ECLI:NL:RBOBR:2017:2117,amfetamine,"['Netherlands', 'Belgium']"
ECLI:NL:RBOVE:2019:560,amfetamine,[' Netherlands']
ECLI:NL:GHSGR:2003:AN7586,aceton,['Bosnia and Herzegovina']
ECLI:NL:GHSGR:2003:AN7586,drugs,['Bosnia and Herzegovina']
ECLI:NL:RBZWB:2021:2021,drugs,[' Germany']
ECLI:NL:RBZWB:2021:2021,amfetamine,[' Germany']
ECLI:NL:RBZWB:2019:2798,amfetamine,[' Netherlands']
ECLI:NL:RBZWB:2019:2798,crystal,[' Netherlands']
ECLI:NL:RBZWB:2019:2798,apaa,[' Netherlands']
ECLI:NL:RBZWB:2019:2798,harddrugs,[' Netherlands']
ECLI:NL:RBZWB:2019:2798,xtc,[' Netherlands']
ECLI:NL:RBZWB:2019:2798,pillen,[' Netherlands']
ECLI:NL:RBZWB:2019:2798,mdma,[' Netherlands']
ECLI:NL:RBZWB:2019:2798,amfetaminepasta,[' Netherlands']
ECLI:NL:RBZWB:2019:2798,drugs,[' Netherlands']
ECLI:NL:RBZWB:2021:1985,drugs,"[' Belgium', ' Germany']"
ECLI:NL:RBZWB:2021:1985,mdma,[' Netherlands']
ECLI:NL:RBZWB:2021:1985,amfetamine,[' Germany']
ECLI:NL:RBZWB:2018:285,drugs,[' Netherlands']
ECLI:NL:RBDHA:2021:14766,drugs,[' Netherlands']
ECLI:NL:RBZWB:2019:5234,drugs,[' Netherlands']
ECLI:NL:RBZWB:2019:5234,hennep,[' Netherlands']
ECLI:NL:RBZWB:2019:5234,hasj,[' Netherlands']
ECLI:NL:RBOBR:2021:5911,methamfetamine,[' Netherlands']
