,ecli,drug,relevant_countries,volume,volume_type,general_volume_type,general_volume,countries_present,verdict_date,general_drug_type,semi_general_drug_type
2183,ECLI:NL:RBROT:2015:8051,heroïne,['Germany'],N/A,N/A,undefined,0,{'Germany': ['Duitsland']},2015-10-30,harddrugs,heroin
2184,ECLI:NL:RBAMS:2013:6936,heroïne,['France'],N/A,N/A,undefined,0,"{'France': ['Frankrijk', 'Perpignan', 'Le Boulou', 'Franse Republiek']}",2013-01-10,harddrugs,heroin
2185,ECLI:NL:GHSGR:2012:BY5522,cocaïnetransport,['Dominican Republic'],N/A,N/A,undefined,0,{'Dominican Republic': ['Dominicaanse Republiek']},2012-11-27,harddrugs,cocaine
2186,ECLI:NL:GHAMS:2011:BU9845,cocaïne,[],N/A,N/A,undefined,0,{'Sint Maarten': ['Sint Maarten']},2011-11-28,harddrugs,cocaine
2187,ECLI:NL:RBAMS:2011:BQ9849,drugs,"['Netherlands', 'Austria']",N/A,N/A,undefined,0,"{'Austria': ['Neustadt Oostenrijk', 'Oostenrijk'], 'Poland': ['Polen'], 'Germany': ['Neustadt']}",2011-06-14,unspecified,unspecified
2188,ECLI:NL:RBAMS:2009:BJ0752,drugs,[],N/A,N/A,undefined,0,"{'France': ['Lyon', 'Frankrijk'], 'Morocco': ['Marokko']}",2009-01-04,unspecified,unspecified
2189,ECLI:NL:RBROT:2005:AU6549,cocaïne,"['Aruba', 'Netherlands']",N/A,N/A,undefined,0,"{'Colombia': ['Colombia'], 'Aruba': ['Aruba']}",2005-09-11,harddrugs,cocaine
2190,ECLI:NL:RBROT:2005:AU6549,drugs,"['Aruba', 'Netherlands']",N/A,N/A,undefined,0,"{'Colombia': ['Colombia'], 'Aruba': ['Aruba']}",2005-09-11,unspecified,unspecified
2191,ECLI:NL:HR:2004:AO4255,pillen,[],N/A,N/A,undefined,0,"{'United States': ['Verenigde Staten van Amerika', 'Detroit Michigan', 'Verenigde Staten', 'Bloomington', 'Indiana', 'New York', 'Washington D.C.']}",2004-03-30,unspecified,unspecified
2192,ECLI:NL:HR:2004:AO4255,xtc,"['Netherlands', 'United States']",N/A,N/A,undefined,0,"{'United States': ['Verenigde Staten van Amerika', 'Detroit Michigan', 'Verenigde Staten', 'Bloomington', 'Indiana', 'New York', 'Washington D.C.']}",2004-03-30,harddrugs,amphetamines
