id,verdict_date,publication_date,verdict_type,jurisdiction_type,inhoudsindicatie,Instanties
ECLI-NL-RBOVE-2021-4508,02-12-2021,02-12-2021,uitspraak,['Strafrecht'],"De rechtbank Overijssel veroordeelt een 28-jarige man tot een gevangenisstraf van 22 maanden, waarvan 12 maanden voorwaardelijk met een proeftijd van 3 jaar. De man dealde in cocaïne en bereidde de drugs ook zelf. Hij verkocht de drugs via zijn eigen drugslijn en stuurde andere mensen aan om de drugs af te leveren bij hun klanten. De man had een klantenbestand van meer dan 100 afnemers en benaderde hen actief om hen drugs te verkopen.

Zie ook: ECLI:NL:RBOVE:2021:4509 ECLI:NL:RBOVE:2021:4510","Rechtbank Overijssel, 02-12-2021, 08.056266.21 (P)"
ECLI-NL-RBDHA-2020-11915,25-11-2020,09-12-2020,uitspraak,['Bestuursrecht; Ambtenarenrecht'],Drugs op kazerne. Strafrechtelijkie veroordeling. Wangedrag,"Rechtbank Den Haag, 25-11-2020, AWB - 18 _ 5707"
ECLI-NL-RBNHO-2020-6998,07-09-2020,12-10-2020,uitspraak,['Civiel recht'],Huur. Ontruiming woning vanwege handelshoeveelheid drugs.,"Rechtbank Noord-Holland, 07-09-2020, 8673574"
ECLI-NL-OGEAA-2017-108,14-02-2017,27-02-2017,uitspraak,['Civiel recht'],civiel-ej-ondercuratelestelling drugs- gedwongen opname.,"Gerecht in Eerste Aanleg van Aruba, 14-02-2017, EJ. nr. 1883 van 2016"
ECLI-NL-RBROT-2021-11929,12-11-2021,07-12-2021,uitspraak,['Civiel recht'],Huur; ontbinding en ontruiming; hasj; (drugs)overlast;,"Rechtbank Rotterdam, 12-11-2021, 9271522"
ECLI-NL-RBDHA-2018-9300,27-06-2018,15-02-2019,uitspraak,['Bestuursrecht'],"Opiumwet, sluiting woning vanwege drugs, beroep ongegrond.","Rechtbank Den Haag, 27-06-2018, AWB - 17 _ 8600"
ECLI-NL-GHAMS-2018-1759,18-04-2018,08-06-2018,uitspraak,['Strafrecht'],"Voorlopige hechtenis invoer van drugs, OM appel","Gerechtshof Amsterdam, 18-04-2018, 15/045782-18"
ECLI-NL-RBROT-2014-9162,09-09-2014,10-11-2014,uitspraak,['Strafrecht'],"Handel in drugs
witwassen, verhullen en verbergen","Rechtbank Rotterdam, 09-09-2014, 10/731211-13"
ECLI-NL-RBLEE-2010-BL3686,11-02-2010,12-02-2010,uitspraak,['Strafrecht'],"invoer drugs, zeiljacht, schip, informant, criminele activiteiten","Rechtbank Leeuwarden, 11-02-2010, 17/880392-09 VON"
ECLI-NL-RBLEE-2006-AY8640,14-09-2006,21-09-2006,uitspraak,['Bestuursrecht'],ongeldigverklaring rijbewijs wegens misbruik van drugs (cannabis),"Rechtbank Leeuwarden, 14-09-2006, 06/2013"
ECLI-NL-CRVB-2004-AO7398,30-03-2004,13-04-2004,uitspraak,['Bestuursrecht; Socialezekerheidsrecht'],Terugvordering bijstandsuitkering. Inkomsten uit handel in drugs.,"Centrale Raad van Beroep, 30-03-2004, 02/489 NABW"
ECLI-NL-RBROT-2022-9957,26-08-2022,23-11-2022,uitspraak,['Civiel recht; Verbintenissenrecht'],"Handelshoeveelheid drugs, geld en versnijdingsmiddelen in woning.  Geen tekortkoming in de nakoming van de huurovereenkomst door ouders. Ouders wisten niet van de aanwezigheid van de drugs en ook niet van de druggerelateerde activiteiten van de zoons.","Rechtbank Rotterdam, 26-08-2022, 9658454 CV EXPL 22-3024"
ECLI-NL-RBAMS-2020-3535,22-07-2020,24-07-2020,uitspraak,['Bestuursrecht'],"De burgemeester heeft terecht een woning in Diemen zonder waarschuwing voor drie maanden gesloten, omdat er een grote handelshoeveelheid drugs, onder andere 900 xtc-pillen en ruim 1200 pillen van de psychedelische drug 2CB, is aangetroffen.","Rechtbank Amsterdam, 22-07-2020, AWB - 20 _ 3689"
ECLI-NL-RBROT-2022-5668,24-06-2022,13-07-2022,uitspraak,['Civiel recht; Verbintenissenrecht'],"Ontbinding huurovereenkomst, ontruiming, drugs in woning, goed huurderschap","Rechtbank Rotterdam, 24-06-2022, 9429390 CV EXPL 21-29555"
ECLI-NL-RBMNE-2022-1408,24-03-2022,15-04-2022,uitspraak,['Strafrecht'],Veroordeling voor bezit hoeveelheden synthetische drugs en witwassen.,"Rechtbank Midden-Nederland, 24-03-2022, 16-320211-20"
ECLI-NL-RBAMS-2021-7806,07-10-2021,11-01-2022,uitspraak,['Strafrecht'],"aanwezig hebben drugs, voorbereidingshandeling, geladen vuurwapen en munitie.","Rechtbank Amsterdam, 07-10-2021, 13/159061-21"
ECLI-NL-RBMNE-2020-5771,18-12-2020,12-01-2021,uitspraak,['Civiel recht; Arbeidsrecht'],op staande voet van medewerker wegens binnenbrengen drugs.,"Rechtbank Midden-Nederland, 18-12-2020, 8806763 UE VERZ  20-306 JH/1050"
ECLI-NL-OGEAC-2019-141,06-06-2019,25-07-2019,uitspraak,['Strafrecht'],"n-o, onr doorzoeking, invoer drugs en wapenbezit","Gerecht in eerste aanleg van Curaçao, 06-06-2019, 500.00021/19"
ECLI-NL-RBDHA-2017-9524,22-08-2017,22-09-2017,uitspraak,['Bestuursrecht'],Sluiting horeca-inrichting ivm aantreffen drugs bij bezoekers,"Rechtbank Den Haag, 22-08-2017, AWB - 16 _ 9909"
ECLI-NL-GHAMS-2016-1885,04-05-2016,17-06-2019,uitspraak,['Strafrecht'],Voorbereidingshandelingen t..b.v. de handel in drugs.,"Gerechtshof Amsterdam, 04-05-2016, 23-005815-13"
ECLI-NL-RBMNE-2013-BZ4552,01-03-2013,18-03-2013,uitspraak,['Strafrecht'],"Bezit wapen, munitie en drugs. Gevangenisstraf vier maanden.","Rechtbank Midden-Nederland, 01-03-2013, 16/701560-12 (P)"
ECLI-NL-RBBRE-2007-BA3363,18-04-2007,19-04-2007,uitspraak,['Strafrecht'],Produceren van synthetische drugs in laboratorium in woonwijk.,"Rechtbank Breda, 18-04-2007, 811314-06 en 045226-04 (vord. tul)"
ECLI-NL-RBMNE-2020-5624,23-12-2020,23-12-2020,uitspraak,['Strafrecht'],"Een 37-jarige man uit Nieuwegein wordt veroordeeld voor het leiden van een criminele organisatie, het medeplegen van het dealen in drugs en het bezit van een grote hoeveelheid drugs tot een gevangenisstraf voor de duur van 5 jaren.","Rechtbank Midden-Nederland, 23-12-2020, 16-119123-20 en 16-123047-18 (TUL) (P)"
ECLI-NL-RBAMS-2022-3647,29-06-2022,22-07-2022,uitspraak,['Civiel recht; Personen- en familierecht'],toewijzen eenhoofdig gezag; ontzeggen omgang; sprake drugs- en alcoholproblematiek.,"Rechtbank Amsterdam, 29-06-2022, C/13/716471 / FA RK 22-2406"
ECLI-NL-GHAMS-2021-2942,11-10-2021,12-10-2021,uitspraak,['Strafrecht'],Tussenarrest. Onderzoek naar aangetroffen zakje drugs bij het NFI.,"Gerechtshof Amsterdam, 11-10-2021, 23-001802-20"
ECLI-NL-RBROT-2019-7276,12-09-2019,16-09-2019,uitspraak,['Bestuursrecht'],"woningsluitig, vovo toegewezen onvoldoende duidelijk hoe drugs in woning","Rechtbank Rotterdam, 12-09-2019, AWB - 19 _ 3931"
ECLI-NL-OGEAA-2016-53,26-01-2016,28-01-2016,uitspraak,['Civiel recht'],civiel - EJ - ondercuratelestelling (drugs) en plaatsing in een rehabilitatiecentrum,"Gerecht in Eerste Aanleg van Aruba, 26-01-2016, EJ. nr. 2119 van 2015"
ECLI-NL-RBMNE-2015-5694,11-06-2015,17-08-2015,uitspraak,['Strafrecht'],Hennep. Diefstal elektriciteit. In het bezit zijn van drugs.,"Rechtbank Midden-Nederland, 11-06-2015, 16/661155-15"
ECLI-NL-GHAMS-2014-2245,15-05-2014,04-07-2014,uitspraak,['Strafrecht'],Invoer drugs - aanhouding verdachte geacht op grond van slikkerscriteria.,"Gerechtshof Amsterdam, 15-05-2014, 23-003985-13"
ECLI-NL-GHAMS-2014-1575,01-05-2014,26-05-2014,uitspraak,['Strafrecht'],Geen sprake van vrijwillige terugtred - aanwezig hebben van drugs.,"Gerechtshof Amsterdam, 01-05-2014, 23-004142-13"
ECLI-NL-GHAMS-2014-1537,22-04-2014,04-07-2014,uitspraak,['Strafrecht'],Mannen met vuilniszakken - nadere bewijsoverweging omtrent vervoer van drugs.,"Gerechtshof Amsterdam, 22-04-2014, 23-005105-13"
ECLI-NL-CRVB-2010-BO3824,09-11-2010,12-11-2010,uitspraak,['Bestuursrecht; Socialezekerheidsrecht'],Intrekking en terugvordering bijstand. Handel in drugs. Schending inlichtingenverplichting.,"Centrale Raad van Beroep, 09-11-2010, 08-6644 WWB"
