year,week_number,0
2012,52,16.666666666666664
2013,1,16.666666666666668
2013,2,50.0
2013,3,16.666666666666668
2013,4,33.333333333333336
2013,5,33.333333333333336
2013,6,33.333333333333336
2013,7,16.666666666666668
2013,8,66.66666666666667
2013,9,16.666666666666668
2013,10,16.666666666666668
2013,11,33.333333333333336
2013,12,16.666666666666668
2013,13,16.666666666666668
2013,16,33.333333333333336
2013,17,33.333333333333336
2013,18,33.333333333333336
2013,19,33.333333333333336
2013,20,33.333333333333336
2013,22,33.333333333333336
2013,23,83.33333333333334
2013,24,16.666666666666668
2013,25,66.66666666666667
2013,26,16.666666666666668
2013,27,33.333333333333336
2013,28,50.0
2013,29,16.666666666666668
2013,30,16.666666666666668
2013,31,16.666666666666668
2013,32,16.666666666666668
2013,33,16.666666666666668
2013,35,50.0
2013,37,33.333333333333336
2013,38,83.33333333333334
2013,39,33.333333333333336
2013,40,33.333333333333336
2013,41,16.666666666666668
2013,42,50.0
2013,43,16.666666666666668
2013,44,50.0
2013,45,100.0
2013,46,66.66666666666667
2013,47,16.666666666666668
2013,48,33.333333333333336
2013,49,83.33333333333334
2013,51,33.333333333333336
2013,52,50.0
2014,1,60.0
2014,2,40.0
2014,3,100.0
2014,4,20.0
2014,7,80.0
2014,8,20.0
2014,9,20.0
2014,10,40.0
2014,11,20.0
2014,12,100.0
2014,13,40.0
2014,14,40.0
2014,15,80.0
2014,17,80.0
2014,18,40.0
2014,19,40.0
2014,21,20.0
2014,22,20.0
2014,23,60.0
2014,24,20.0
2014,25,40.0
2014,26,80.0
2014,29,20.0
2014,31,40.0
2014,33,40.0
2014,34,40.0
2014,35,60.0
2014,36,100.0
2014,37,40.0
2014,39,40.0
2014,40,20.0
2014,41,20.0
2014,42,20.0
2014,46,40.0
2014,47,20.0
2014,48,80.0
2014,49,60.0
2014,50,60.0
2014,52,60.0
2015,2,16.666666666666668
2015,3,50.0
2015,4,16.666666666666668
2015,5,83.33333333333333
2015,6,33.333333333333336
2015,9,16.666666666666668
2015,10,33.333333333333336
2015,11,16.666666666666668
2015,12,16.666666666666668
2015,13,50.0
2015,14,16.666666666666668
2015,15,50.0
2015,16,50.0
2015,17,50.0
2015,18,50.0
2015,19,33.333333333333336
2015,20,50.0
2015,21,50.0
2015,22,66.66666666666667
2015,23,16.666666666666668
2015,24,66.66666666666667
2015,25,66.66666666666667
2015,27,16.666666666666668
2015,28,33.333333333333336
2015,29,16.666666666666668
2015,30,33.333333333333336
2015,31,16.666666666666668
2015,32,16.666666666666668
2015,33,33.333333333333336
2015,34,50.0
2015,35,50.0
2015,37,16.666666666666668
2015,38,16.666666666666668
2015,39,50.0
2015,40,100.0
2015,41,16.666666666666668
2015,42,16.666666666666668
2015,43,66.66666666666667
2015,44,33.333333333333336
2015,45,50.0
2015,46,83.33333333333333
2015,47,33.333333333333336
2015,48,16.666666666666668
2015,49,100.0
2015,50,83.33333333333333
2015,51,16.666666666666668
2015,52,33.333333333333336
2015,53,83.33333333333333
2016,1,71.42857142857143
2016,2,57.14285714285715
2016,3,42.85714285714286
2016,4,42.85714285714286
2016,5,14.285714285714288
2016,6,28.571428571428577
2016,7,28.571428571428577
2016,8,42.85714285714286
2016,9,14.285714285714288
2016,10,71.42857142857143
2016,11,28.571428571428577
2016,12,42.85714285714286
2016,13,14.285714285714288
2016,15,42.85714285714286
2016,16,71.42857142857143
2016,17,57.14285714285715
2016,18,42.85714285714286
2016,19,14.285714285714288
2016,20,85.71428571428572
2016,21,14.285714285714288
2016,22,100.0
2016,23,28.571428571428577
2016,24,42.85714285714286
2016,25,14.285714285714288
2016,26,85.71428571428572
2016,27,57.14285714285715
2016,28,42.85714285714286
2016,29,28.571428571428577
2016,30,14.285714285714288
2016,31,28.571428571428577
2016,32,28.571428571428577
2016,33,71.42857142857143
2016,35,42.85714285714286
2016,36,14.285714285714288
2016,37,57.14285714285715
2016,38,28.571428571428577
2016,39,28.571428571428577
2016,41,14.285714285714288
2016,42,57.14285714285715
2016,43,14.285714285714288
